Time,Data
0,0
3.16E-30,3.16E-26
5.58E-08,0.0005581969848
3.35E-07,0.003349181909
1.73E-06,0.01730410653
8.71E-06,0.08707872952
4.36E-05,0.4359518313
0.0002180317423,2.180315695
0.0004731394289,4.731376636
0.0007368699358,7.368632674
0.001018392905,10.18375302
0.001391335139,13.9129025
0.001945351138,19.4522844
0.002869056197,28.68662603
0.00428327903,42.81969432
0.005844343676,58.41017219
0.007783685001,77.75827708
0.01039414399,103.7543802
0.01452203499,144.7104637
0.01929730909,191.7776438
0.02428235598,240.4443061
0.03140194874,308.8840546
0.03918224486,381.8733821
0.04698098846,452.7167764
0.05740520989,543.0390752
0.06433200039,599.8551062
0.07125879088,653.7941575
0.08098001505,724.149364
0.08831576173,772.7469127
0.0956515084,817.187929
0.1085929956,884.7372402
0.1138489045,908.0014927
0.1191048134,928.7580066
0.127905448,957.7443371
0.1363550527,978.6013449
0.1448046575,992.475704
0.1559363154,999.934642
0.1624365871,998.5654951
0.1689368588,992.9785417
0.1818437729,969.4932526
0.187069353,955.3668625
0.1922949332,938.6322755
0.2011960839,904.2550382
0.2096171121,865.1360289
0.2180381404,819.8856431
0.2302483039,744.0485259
0.2357723508,706.0247759
0.2412963978,665.8471325
0.2517152042,584.6435377
0.2589758643,524.2498878
0.2662365244,461.0937541
0.2788117208,346.1604686
0.2848906508,288.5251725
0.2909695809,229.8240063
0.3028397354,112.9537223
0.3102771128,38.81177447
0.3177144903,-35.54476013
0.3309697773,-167.3144815
0.3389055733,-244.9451123
0.3468413693,-321.0339652
0.356825043,-413.8305133
0.3666079631,-500.7690079
0.3755860599,-576.3604447
0.3827745017,-633.5650035
0.3910313731,-695.2165172
0.3992882444,-752.1310201
0.4113683562,-826.0658987
0.4171754383,-857.3822393
0.4229825204,-885.8081106
0.4339781244,-931.3811787
0.4404688602,-953.0325707
0.4469595961,-970.6702791
0.460097512,-993.7998933
0.4652221801,-998.1905012
0.4703468482,-999.9602126
0.4790100971,-996.9819426
0.487625623,-986.6037793
0.496241149,-968.9068525
0.5073004814,-935.6797039
0.5135834826,-911.6784425
0.5198664838,-884.0794137
0.532208984,-819.819349
0.5378388798,-786.2994451
0.5434687757,-750.2879662
0.5535368689,-680.0395804
0.5610294273,-623.249444
0.5685219857,-562.9621196
0.5794053565,-469.8596185
0.5867005631,-404.2691905
0.5939957697,-336.5281942
0.6124858836,-157.6658309
0.6174000191,-108.968306
0.6223141545,-60.00768956
0.6288655101,5.469766445
0.6386668931,103.2990245
0.649912659,214.2669452
0.6581657508,294.0603002
0.6664188426,371.8518436
0.6757768198,456.9674753
0.6833246463,522.7393647
0.6908724728,585.534638
0.7062561525,702.8358274
0.7105117521,732.4626612
0.7147673517,760.763196
0.7221034757,806.2878651
0.7318564019,860.0556368
0.7425328193,909.5262666
0.7515501569,943.260455
0.7606489689,969.5298765
0.7684843081,985.7301428
0.7754225056,995.0284375
0.7846457911,999.9716969
0.7926626161,997.3625465
0.8006794412,988.3468308
0.8111473305,967.03178
0.8183371341,946.2399286
0.8255269377,920.5587599
0.8366575764,871.4751773
0.8431818203,837.6463035
0.8497060642,800.2531892
0.8631492526,712.6618722
0.8682662147,675.8488629
0.8733831768,637.2666443
0.8821070459,567.6985189
0.8913466546,489.3213565
0.9005862634,406.7698106
0.9096233988,322.6652219
0.9186605342,235.9272253
0.9280582375,143.6964106
0.936774536,57.00168775
0.9446432341,-21.65268753
0.9542464299,-117.4148659
0.962849943,-202.3152339
0.9701793819,-273.4864969
0.9775088209,-343.1892296
0.9908816954,-465.3579661
0.9964087784,-513.5438989
1.001935861,-560.1614241
1.012452553,-644.0245932
1.019875004,-698.9813348
1.027297455,-750.0889614
1.03821221,-817.6654944
1.045148981,-855.6015557
1.052085752,-889.4222168
1.063553154,-935.8817647
1.069832128,-956.1446748
1.076111101,-972.6391741
1.088210085,-993.5687946
1.093896359,-998.3980425
1.099582633,-999.9999682
1.109790889,-994.7683828
1.116793639,-985.1823924
1.123796388,-970.7671888
